	Model Cluster	p Value Log	Odds Ratio	Description	Antibody	Size	Cluster Site - TF Region Overlap (a)	TF Region Only (b)	Cluster Site Only (c)	Assessed Methylation Background (d)	ENOCDE File
3866	1	0.32559135795639743	1.585301524126792	encode_v4_hg19 CUX1	CUX1	7045.0	1	6170	49	479292	ENCFF136KLM.bed
3867	1	0.32559135795639743	1.585301524126792	encode_v4_hg19 TEAD2	TEAD2	3285.0	1	6170	49	479292	ENCFF680JFD.bed
3868	5	0.32538885125650047	1.117395980111105	encode_v4_hg19 ZBED4	ZBED4	16526.0	5	31266	65	454176	ENCFF021YBN.bed
3869	10	0.32536993622555793	1.8305729831670507	encode_v4_hg19 LCORL	LCORL	37350.0	1	58338	4	427169	ENCFF606UCO.bed
3870	8	0.325284343834775	1.2822258489114164	encode_v4_hg19 TBX21	TBX21	40139.0	2	21911	33	463566	ENCFF170IZO.bed
3871	3	0.3251896845370691	1.2599940376341219	encode_v4_hg19 EP300	EP300	4730.0	2	4000	191	481319	ENCFF099PQM.bed
3872	8	0.3250994599571352	1.1548270721527936	encode_v4_hg19 ZNF692	ZNF692	33315.0	4	48792	31	436685	ENCFF771ALQ.bed
3873	3	0.32502797007071493	1.04008141346769	encode_v4_hg19 CTCF	CTCF	68039.0	18	43676	175	441643	ENCFF664UGR.bed
3874	1	0.324884384035032	1.5816656037690144	encode_v4_hg19 ZSCAN16	ZSCAN16	5409.0	1	6184	49	479278	ENCFF180POM.bed
3875	2	0.3247758155950331	1.2855887456138215	encode_v4_hg19 CTCF	CTCF	23929.0	2	25554	28	459928	ENCFF130ADS.bed
3876	4	0.32436675181287267	1.142336212257797	encode_v4_hg19 CTCF	CTCF	39355.0	4	29562	54	455892	ENCFF979MUN.bed
3877	1	0.3242734118572867	1.1852386899019234	encode_v4_hg19 ZBTB17	ZBTB17	15135.0	3	24808	47	460654	ENCFF292HSS.bed
3878	8	0.3235838793181472	1.1921212199446867	encode_v4_hg19 FOSL2	FOSL2	51769.0	3	35395	32	450082	ENCFF772SCR.bed
3879	3	0.32345773939339806	1.0909223025281736	encode_v4_hg19 ZNF423	ZNF423	10502.0	6	13866	187	471453	ENCFF222HPT.bed
3880	1	0.32301663903883654	1.1426624693856866	encode_v4_hg19 ELF4	ELF4	10799.0	4	34331	46	451131	ENCFF488DML.bed
3881	8	0.32298036780353745	1.1511258415085157	encode_v4_hg19 BCL3	BCL3	19424.0	4	48933	31	436544	ENCFF008SZM.bed
3882	5	0.3228486032763559	1.1136614895297225	encode_v4_hg19 CTCF	CTCF	26943.0	5	31364	65	454078	ENCFF786YIA.bed
3883	5	0.32266961136606637	1.2614003100687696	encode_v4_hg19 CHAMP1	CHAMP1	12891.0	2	11061	68	474381	ENCFF515GUE.bed
3884	4	0.3225738150092336	1.1160396848738603	encode_v4_hg19 CTCF	CTCF	39062.0	5	37837	53	447617	ENCFF814BVV.bed
3885	2	0.32250775632077744	1.584208046379189	encode_v4_hg19 HLF	HLF	67122.0	1	10342	29	475140	ENCFF264GAF.bed
3886	7	0.32237536720531795	1.0835030571480013	encode_v4_hg19 CTCF	CTCF	48926.0	7	33917	86	451502	ENCFF129JPF.bed
3887	4	0.32236198838747626	1.5657572303233895	encode_v4_hg19 ATOH8	ATOH8	6986.0	1	5379	57	480075	ENCFF520POQ.bed
3888	4	0.3223373588761471	1.1004846255840193	encode_v4_hg19 CTCF	CTCF	46268.0	6	46068	52	439386	ENCFF849FKD.bed
3889	9	0.32233066596642024	1.5565882866669458	encode_v4_hg19 ZNF354B	ZNF354B	4167.0	1	2720	114	482677	ENCFF649UCX.bed
3890	8	0.32191083480747457	1.5758155068720272	encode_v4_hg19 SOX13	SOX13	11886.0	1	8895	34	476582	ENCFF218BAR.bed
3891	8	0.32178390589495975	1.1490353082232077	encode_v4_hg19 ELF1	ELF1	27308.0	4	49013	31	436464	ENCFF146SYU.bed
3892	1	0.32158040266632953	1.564744151535672	encode_v4_hg19 TRIM24	TRIM24	17660.0	1	6250	49	479212	ENCFF597YMB.bed
3893	2	0.32148321390020357	1.578902941837086	encode_v4_hg19 NFE2	NFE2	30661.0	1	10376	29	475106	ENCFF474PRJ.bed
3894	8	0.3214558286166426	1.5734724363109913	encode_v4_hg19 GLI4	GLI4	4671.0	1	8908	34	476569	ENCFF088ZHH.bed
3895	4	0.32132486039642777	1.560475459556781	encode_v4_hg19 CUX1	CUX1	13381.0	1	5397	57	480057	ENCFF184PHK.bed
3896	2	0.32106266127377436	1.5767285756314764	encode_v4_hg19 ZNF362	ZNF362	29159.0	1	10390	29	475092	ENCFF409GGL.bed
3897	1	0.32103432802748144	1.5619585821887711	encode_v4_hg19 ZNF24	ZNF24	6401.0	1	6261	49	479201	ENCFF483YIX.bed
3898	8	0.32095686486922415	1.2702601646018432	encode_v4_hg19 ARNT	ARNT	19394.0	2	22108	33	463369	ENCFF596RIT.bed
3899	1	0.3208684140686657	1.2618221336481794	encode_v4_hg19 GABPA	GABPA	4093.0	2	15518	48	469944	ENCFF158YBV.bed
3900	3	0.3208096656225948	1.0767234219584958	encode_v4_hg19 RFX1	RFX1	17824.0	7	16390	186	468929	ENCFF820GPR.bed
3901	4	0.3206354405594601	1.258619702999398	encode_v4_hg19 CBFB	CBFB	7308.0	2	13395	56	472059	ENCFF802NHC.bed
3902	4	0.3204426250236187	1.1748755853286723	encode_v4_hg19 CTCF	CTCF	29844.0	3	21538	55	463916	ENCFF529BHM.bed
3903	5	0.3202574813366443	1.1326893839573702	encode_v4_hg19 ZNF24	ZNF24	25853.0	4	24655	66	460787	ENCFF268YOM.bed
3904	6	0.3201684111838799	1.0781657028441118	encode_v4_hg19 ATF3	ATF3	57514.0	7	24525	122	460858	ENCFF556SMM.bed
3905	6	0.3201295827497696	1.1267763997143283	encode_v4_hg19 GATA2	GATA2	35792.0	4	13404	125	471979	ENCFF946TTM.bed
3906	1	0.3200062911579932	1.2594744187614666	encode_v4_hg19 TRIM22	TRIM22	27019.0	2	15546	48	469916	ENCFF238QAG.bed
3907	2	0.319865293497	1.5705482559101067	encode_v4_hg19 MLXIP	MLXIP	5495.0	1	10430	29	475052	ENCFF780JTP.bed
3908	5	0.3196866701513839	1.1090072092217949	encode_v4_hg19 RCOR1	RCOR1	45313.0	5	31487	65	453955	ENCFF627PLM.bed
3909	5	0.31922206782306517	1.1309495570253068	encode_v4_hg19 CTCF	CTCF	44447.0	4	24691	66	460751	ENCFF624ZSR.bed
3910	3	0.3191865502535067	1.1003937064412463	encode_v4_hg19 ZNF646	ZNF646	11341.0	5	11453	188	473866	ENCFF496HIK.bed
3911	1	0.3189629460115417	1.2566349676470265	encode_v4_hg19 FOXK1	FOXK1	7634.0	2	15580	48	469882	ENCFF516ZWP.bed
